number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
56,AER4,R1,Rep5,sand,Chigunwe,G2,4,35.4,0.37,0.4,56.2827,-8.79,-1.02,3.0296,22.53,29.07,7.14,1.1619,1879.6742,65.14,0.55,61.76,0.13
57,AER4,R1,Rep5,sand,Bobwhite,G1,6,38,0.19,0.23,71.7532,-2.57,7.68,3.3891,21.48,26.54,16.64,-3.6443,1061.5247,40.53,0.55,60.54,0.14
58,AER4,R1,Rep5,sand,Guinea_fowl,G4,6,40.5,0.16,0.18,80.648,-1.19,8.72,3.4021,19.47,23.87,11.1,-4.5561,650.7972,35.49,0.54,58.85,0.13
59,AER4,R1,Rep5,sand,Muromo_wehoto,G10,7,44.6,0.34,0.37,59.1179,-7.94,-0.08,5.4648,22.02,27.91,8.79,0.7474,1829.0187,62.26,0.52,58.6,0.14
60,AER4,R1,Rep5,sand,Kabhutsu,G5,4,57,0.17,0.24,79.1128,-2.26,6.82,6.0431,19.13,23.32,28.97,-4.564,666.2155,39.53,0.51,55.63,0.13
61,AER4,R1,Rep6,sand,Kasawaya,G6,5,21,0.19,0.28,64.6488,-5.33,9.63,4.7231,36.29,41.4,31.43,-3.5088,2812.2169,49.33,0.51,60.05,0.3
62,AER4,R1,Rep6,sand,Natal_common,G11,7,24.5,0.27,0.32,63.7077,-5.55,4.34,4.8517,24.17,29.62,13.39,-1.4764,1678.0016,50.82,0.52,58.19,0.17
63,AER4,R1,Rep6,sand,Makulu_red,G7,6,25,0.47,0.53,34.5797,-13.95,-8.37,4.951,22.79,30.51,11.52,5.838,2739.3668,87.15,0.56,62.92,0.12
64,AER4,R1,Rep6,sand,Tumbe,G12,4,25.5,0.4,0.44,51.0295,-10.66,-4.21,5.0559,21.5,28.13,10,3.1079,2065.8979,76,0.54,60.4,0.12
65,AER4,R1,Rep6,sand,Murambatsvina,G9,5,26,0.34,0.4,54.3497,-9.13,-0.48,5.1305,24.92,31.68,14.47,1.1227,2167.2441,63.58,0.55,61.86,0.16
66,AER4,R1,Rep6,sand,Munzungu_munemari,G8,5,30,0.38,0.43,50.0661,-10.53,-4.14,5.1493,21.24,27.75,11.78,3.3993,2074.2912,76.07,0.53,59.85,0.12
67,AER4,R1,Rep6,sand,Chizambia,G3,5,35,0.41,0.46,47.7294,-10.77,-4.31,5.3468,21.62,28.3,11.6,3.4862,2121.3389,76.24,0.54,60.47,0.12
68,AER4,R1,Rep6,sand,Chigunwe,G2,4,35.4,0.48,0.53,40.3765,-13.44,-7.85,5.4648,22.28,29.44,9.7,5.6891,2528.8313,86.24,0.53,59.88,0.12
69,AER4,R1,Rep6,sand,Bobwhite,G1,6,38.6,0.33,0.39,54.5602,-9.09,-0.85,5.4754,24.01,30.53,14.59,1.5982,2106.8565,64.74,0.54,60.53,0.15
70,AER4,R1,Rep6,sand,Guinea_fowl,G4,6,41,0.12,0.2,71.9794,-2.58,14.12,6.4493,36.92,41.39,38.31,-5.704,2560.279,44.79,0.52,60.22,0.31
71,AER4,R1,Rep6,sand,Muromo_wehoto,G10,7,44.8,0.34,0.41,54.7567,-9.44,-0.7,9.0833,25.7,32.08,16.45,1.2016,2273.531,64.29,0.52,58.91,0.18
72,AER4,R1,Rep6,sand,Kabhutsu,G5,5,57.9,0.17,0.24,79.1128,-2.26,6.82,9.8062,19.13,23.32,28.97,-4.564,666.2155,39.53,0.51,55.63,0.13
73,AER4,R2,Rep1,red,Kasawaya,G6,6,16.1,0.4,0.21,40.5,-11.23,-9.11,1.09,38.05,34.58,45.21,-2.5,0,68.16,0.5,57.98,0.2
