number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
147,AER3,R2,Rep4,sand,Makulu_red,G7,7,40,0.27,0.38,50.4971,-7.94,0.04,4.4576,22.14,28.44,28.18,-0.2949,1619.4455,61.72,0.55,61.47,0.13
148,AER3,R2,Rep4,sand,Tumbe,G12,7,42.8,0.17,0.28,70.6743,-4.51,5.36,5.3652,23.03,28.17,39.64,-3.791,1464.1998,47.6,0.52,57.8,0.16
149,AER3,R2,Rep4,sand,Murambatsvina,G9,8,44,0.31,0.55,25.8162,-11.38,-3.22,6.4247,26.5,32.94,42.73,4.4399,1803.1521,70.54,0.49,57.16,0.19
150,AER3,R2,Rep4,sand,Munzungu_munemari,G8,3,47.2,0.37,0.4,36.7033,-8.09,-3.78,6.577,14.41,19.51,8.2,0.6427,659.3422,84.67,0.54,58.94,0.05
151,AER3,R2,Rep4,sand,Chizambia,G3,6,54,0.29,0.42,51.0025,-8.57,-1.33,6.6675,21.39,26.83,30.79,0.0151,2172.9229,66.61,0.48,54.92,0.14
152,AER3,R2,Rep4,sand,Chigunwe,G2,6,58.9,0.34,0.48,18.1902,-6.85,0.5,6.7207,20.37,24.39,30.19,5.2894,1025.5212,60.35,0.42,48.26,0.16
153,AER3,R2,Rep4,sand,Bobwhite,G1,7,59.6,0.39,0.46,33.8966,-11.01,-5.47,8.0272,19.78,26.43,13.97,2.986,1735.9322,82.33,0.55,61.35,0.1
154,AER3,R2,Rep4,sand,Guinea_fowl,G4,8,59.85,0.35,0.37,66.3771,-7.22,-1.65,9.452,16.34,21.1,7.75,-1.1029,701.7126,69.43,0.49,54.52,0.09
155,AER3,R2,Rep4,sand,Muromo_wehoto,G10,7,64.85,0.37,0.4,47.0931,-7.86,-2.19,12.7645,17.08,22.58,7.93,0.3137,1070.2547,71.47,0.54,59.43,0.08
156,AER3,R2,Rep4,sand,Kabhutsu,G5,7,71,0.11,0.16,89.7581,0.58,12.45,14.3653,22.85,25.95,34.58,-7.887,990.6625,35.27,0.46,51.5,0.19
157,AER3,R2,Rep5,sand,Kasawaya,G6,3,34.5,0.51,0.55,36.4476,-10.89,-6.29,1.2759,17.58,23.74,7.6,4.09,1666.8799,89.44,0.54,59.62,0.08
158,AER3,R2,Rep5,sand,Natal_common,G11,7,39.5,0.22,0.4,45.944,-5.08,4.94,1.3354,24.48,29.04,44.87,-1.7008,1917.1549,50.07,0.47,53.54,0.19
159,AER3,R2,Rep5,sand,Makulu_red,G7,7,41,0.7,0.72,13.3996,-16.06,-13.17,2.504,18.46,25.8,3.2,8.7063,2513.3058,112.45,0.53,60.48,0.07
160,AER3,R2,Rep5,sand,Tumbe,G12,7,43,0.13,0.29,70.1573,-3.2,8.39,3.0309,27.4,30.05,54.23,-6.1264,2112.141,46.3,0.41,47.46,0.27
161,AER3,R2,Rep5,sand,Murambatsvina,G9,8,44.6,0.33,0.43,36.6011,-5.7,2.37,4.9115,21.2,24.66,24.75,3.0782,1306.2227,54.7,0.4,46.43,0.18
162,AER3,R2,Rep5,sand,Munzungu_munemari,G8,8,48,0.21,0.36,67.6688,-3.15,7.47,5.3272,24.8,27.73,41.32,-5.3868,1793.7505,45.77,0.41,47.44,0.23
163,AER3,R2,Rep5,sand,Chizambia,G3,6,54.8,0.2,0.51,32.492,-8.49,3.31,8.9571,34.13,37.5,61.92,-0.0416,3927.4887,57.51,0.41,50.33,0.34
164,AER3,R2,Rep5,sand,Chigunwe,G2,6,59,0.4,0.42,44.2789,-5.96,-1.5,9.3042,12.87,17.11,5.81,-0.1707,445.3864,70.47,0.52,56.5,0.05
165,AER3,R2,Rep5,sand,Bobwhite,G1,7,61,0.1,0.26,78.1536,-1.71,14.46,10.7534,33.92,38.92,62.59,-7.2786,1894.5508,42.52,0.54,61.66,0.27
166,AER3,R2,Rep5,sand,Guinea_fowl,G4,8,61.8,0.19,0.3,88.0661,-1.77,12.34,11.3929,30.29,34.2,35.14,-8.5535,1501.4071,42.62,0.48,55.37,0.26
167,AER3,R2,Rep5,sand,Muromo_wehoto,G10,7,65,0.17,0.31,76.5866,-2.84,10.88,13.07,30.53,34.81,45.38,-7.0219,1854.6964,44.62,0.49,56.13,0.26
168,AER3,R2,Rep5,sand,Kabhutsu,G5,7,71.8,0.16,0.17,82.5465,-0.54,7.21,17.619,14.45,18.13,9.16,-5.1308,-113.7233,26.67,0.55,59.02,0.07
169,AER3,R2,Rep6,sand,Kasawaya,G6,5,35,0.04,0.16,91.1872,2.67,20.77,4.1117,34.1,36.8,76.37,-10.8907,1578.2947,36.92,0.49,56.23,0.31
170,AER3,R2,Rep6,sand,Natal_common,G11,7,40,0.12,0.33,36.1713,-2.29,13.05,4.4072,34.5,37.74,63.65,-1.5086,2325.1562,44.7,0.46,54.53,0.32
171,AER3,R2,Rep6,sand,Makulu_red,G7,7,41.6,0.05,0.2,83.1763,2.15,20.01,4.8885,34.47,37.06,74.48,-10.4211,1797.9905,37.88,0.48,55.61,0.32
172,AER3,R2,Rep6,sand,Tumbe,G12,7,43.8,0.21,0.41,31.7344,-2.74,10.07,5.5311,31.37,32.2,48.64,2.2073,1939.8157,46.64,0.36,44.08,0.36
173,AER3,R2,Rep6,sand,Murambatsvina,G9,8,44.8,0.1,0.4,50.4911,-6.16,9.1,6.234,38.82,43.22,74.83,-3.64,3618.5038,51.06,0.49,58.37,0.35
174,AER3,R2,Rep6,sand,Munzungu_munemari,G8,5,48.5,0.07,0.21,89.2944,2.04,19.03,6.6356,33.29,35.32,69.18,-11.1412,1748.7233,37.98,0.45,52.72,0.32
175,AER3,R2,Rep6,sand,Chizambia,G3,6,55,0.07,0.22,85.4901,2.37,20.32,7.1,34.43,36.94,70.03,-10.9438,1738.0564,37.58,0.48,55.47,0.32
176,AER3,R2,Rep6,sand,Chigunwe,G2,6,59.6,0.1,0.27,38.8934,0.11,15.79,9.3083,33.02,35.14,63.11,-3.0089,1996.7998,40.98,0.44,51.44,0.33
177,AER3,R2,Rep6,sand,Bobwhite,G1,7,61.5,0.03,0.15,91.1462,4.4,24.09,14.2853,35.72,37.72,77.36,-12.1468,1607.678,35.48,0.49,56.03,0.34
178,AER3,R2,Rep6,sand,Guinea_fowl,G4,8,62,0.13,0.28,84.3355,0.4,16.7,15.8973,34.16,36.1,54.49,-10.6573,1940.4156,40.86,0.44,51.78,0.34
179,AER3,R2,Rep6,sand,Muromo_wehoto,G10,7,65.8,0.05,0.26,42.811,2.27,19.83,16.4302,35.3,36.28,78.98,-5.3547,1914.7331,38.82,0.43,50.72,0.37
180,AER3,R2,Rep6,sand,Kabhutsu,G5,7,72,0.02,0.12,88.9301,5.85,26.84,18.6892,35.96,38.21,84.79,-12.1538,1585.1758,33.55,0.51,58.32,0.32
181,AER3,R3,Rep4,sand,Kasawaya,G6,8,35.6,0.17,0.21,31.7244,-2.51,3.3,0.9476,12.45,16.23,20.96,-1.9114,186.3621,31.56,0.56,60.08,0.05
182,AER3,R3,Rep4,sand,Natal_common,G11,9,40.5,0.13,0.2,55.0731,-1.52,6.33,1.5612,15.58,19.61,33.53,-3.2783,435.733,32.54,0.55,59,0.08
183,AER3,R3,Rep4,sand,Makulu_red,G7,8,42,0.27,0.31,11.226,-3.42,2.4,1.7914,13.28,17.41,13.3,-1.1238,504.5745,39.48,0.56,60.44,0.05
184,AER3,R3,Rep4,sand,Tumbe,G12,8,44,0.19,0.21,40.8278,-4.21,0.99,2.4651,12.76,16.93,9.33,-0.8704,378.9593,46.52,0.56,60.17,0.05
185,AER3,R3,Rep4,sand,Murambatsvina,G9,9,45,0.18,0.24,23.8543,-2.79,2.77,2.5984,12.21,15.96,27.58,-1.5726,231.4426,33.33,0.56,59.5,0.04
186,AER3,R3,Rep4,sand,Munzungu_munemari,G8,7,49,0.26,0.33,26.3421,-3.25,2.47,2.8899,12.92,16.95,20.99,-1.7296,252.7285,37.77,0.56,60.38,0.05
187,AER3,R3,Rep4,sand,Chizambia,G3,7,55.5,0.2,0.23,45.2949,-2.41,3.07,3.2541,11.79,15.32,11.97,-2.485,28.4339,30.23,0.55,58.46,0.04
188,AER3,R3,Rep4,sand,Chigunwe,G2,7,60,0.24,0.3,34.8441,-2.94,2.83,3.4217,12.86,16.57,18.39,-1.9551,298.5922,37.24,0.53,57.01,0.06
189,AER3,R3,Rep4,sand,Bobwhite,G1,9,62,0.16,0.2,42.5028,-2.44,3.22,3.8341,12.25,15.69,21.33,-2.0341,203.6448,33.15,0.52,55.92,0.05
190,AER3,R3,Rep4,sand,Guinea_fowl,G4,9,62.8,0.03,0.24,68.7274,0.73,17.18,3.8518,30.3,35.91,89.59,-7.1873,1223.2032,36.43,0.6,66.55,0.21
191,AER3,R3,Rep4,sand,Muromo_wehoto,G10,9,65.9,0.21,0.23,46.2312,-3.41,1.99,4.2374,12.48,16.35,10.82,-1.2889,319.1283,39.4,0.55,58.83,0.05
192,AER3,R3,Rep4,sand,Kabhutsu,G5,9,72.8,0.09,0.1,73.3563,-2.9,2.44,11.6659,11.82,15.66,7.05,-1.8868,99.2564,31.74,0.58,61.8,0.04
193,AER3,R3,Rep5,sand,Kasawaya,G6,8,36,0.03,0.42,27.2307,-8.92,5.47,1.5523,35.83,46.6,93.64,-1.9268,2916.9283,53.6,0.77,84.18,0.19
194,AER3,R3,Rep5,sand,Natal_common,G11,9,41,0.03,0.15,74.1157,0.32,12.63,1.9581,22.83,27.24,79.8,-6.3543,719.5416,34.06,0.54,59.53,0.16
195,AER3,R3,Rep5,sand,Makulu_red,G7,8,43,0.29,0.34,13.289,-3.93,2.19,3.3448,14.33,18.73,13.97,-0.8998,690.1091,43.97,0.56,60.2,0.06
196,AER3,R3,Rep5,sand,Tumbe,G12,8,44.5,0.01,0.14,75.4409,-1.32,13.11,4.0915,29.31,34.37,92.86,-6.1343,1502.482,40.52,0.54,61.01,0.22
197,AER3,R3,Rep5,sand,Murambatsvina,G9,9,45.8,0.01,0.13,72.2266,-1.47,12.42,4.1321,28.79,33.32,91.34,-5.8257,1618.4817,41.13,0.51,58.04,0.23
198,AER3,R3,Rep5,sand,Munzungu_munemari,G8,9,49.7,0.01,0.23,35.2623,-5.89,9.13,6.8598,33.33,43.17,97.48,-3.156,2259.2499,47.13,0.77,83.57,0.17
199,AER3,R3,Rep5,sand,Chizambia,G3,7,56,0,0.12,56.1583,-2.92,14.02,12.6279,34.28,42.75,97.96,-4.8282,2055.0626,42.24,0.72,78.4,0.2
200,AER3,R3,Rep5,sand,Chigunwe,G2,7,61,0.49,0.63,32.8938,-9.9,-1.79,15.2144,24.31,31.8,22.65,1.3847,2152.0879,67.25,0.59,66.09,0.14
201,AER3,R3,Rep5,sand,Bobwhite,G1,9,62.8,0.01,0.07,87.719,1.59,19.89,17.274,31.48,38.61,88.51,-7.1007,1206.0223,34.02,0.72,77.01,0.19
202,AER3,R3,Rep5,sand,Guinea_fowl,G4,9,63,0.03,0.08,96.1233,2.97,15.44,33.7213,19.92,23.9,60.22,-8.0376,5.3506,24.95,0.58,62.1,0.13
203,AER3,R3,Rep5,sand,Muromo_wehoto,G10,9,66,0.12,0.21,85.7235,0.12,11.28,40.3469,20.6,24.96,44.16,-6.6727,308.8487,32.67,0.55,59.89,0.14
204,AER3,R3,Rep5,sand,Kabhutsu,G5,9,73,0.13,0.13,76.1072,-3.74,1.5,49.5052,12.37,16.54,5.6,-1.4295,201.6591,40.18,0.59,62.52,0.04
205,AER3,R3,Rep6,sand,Kasawaya,G6,8,36.5,0.03,0.42,27.2307,-8.92,5.47,1.7557,35.83,46.6,93.64,-1.9268,2916.9283,53.6,0.77,84.18,0.19
206,AER3,R3,Rep6,sand,Natal_common,G11,9,41.8,0.04,0.17,71.0695,-0.48,11.44,1.9435,23.02,27.47,78.58,-5.8365,857.845,36.24,0.53,58.6,0.17
207,AER3,R3,Rep6,sand,Makulu_red,G7,8,43.5,0.27,0.32,13.2949,-3.37,2.85,2.8181,14.02,18.27,14.94,-1.3272,570.878,39.74,0.56,60.35,0.06
208,AER3,R3,Rep6,sand,Tumbe,G12,8,45,0.01,0.14,74.7595,-1.59,12.76,3.4441,29.57,34.59,94.37,-6.0241,1559.1925,41.22,0.54,60.6,0.23
209,AER3,R3,Rep6,sand,Murambatsvina,G9,9,46,0.01,0.14,69.967,-2.05,11.64,4.0915,29.12,33.66,92.98,-5.4957,1707.8152,42.46,0.51,57.58,0.24
210,AER3,R3,Rep6,sand,Munzungu_munemari,G8,9,50,0.01,0.25,33.6962,-6.34,8.72,4.7311,34.19,43.95,96.95,-2.9725,2423.4055,48.33,0.75,81.93,0.19
211,AER3,R3,Rep6,sand,Chizambia,G3,7,56.8,0.25,0.28,44.6338,-3.37,1.94,13.3959,12.32,16.03,13.3,-1.9168,197.3168,39.9,0.53,57.07,0.05
212,AER3,R3,Rep6,sand,Chigunwe,G2,7,61.5,0.49,0.63,32.8938,-9.9,-1.79,13.7913,24.31,31.8,22.65,1.3847,2152.0879,67.25,0.59,66.09,0.14
213,AER3,R3,Rep6,sand,Bobwhite,G1,9,63,0.01,0.11,77.2205,-0.17,17.34,16.2203,32.51,39.66,93.65,-6.2617,1565.7124,37.66,0.68,74.29,0.2
214,AER3,R3,Rep6,sand,Guinea_fowl,G4,9,63.8,0.05,0.13,93.2325,1.48,13.05,18.3897,19.9,23.98,60.5,-7.2873,132.3197,28.55,0.56,60.4,0.13
215,AER3,R3,Rep6,sand,Muromo_wehoto,G10,9,66.8,0.13,0.23,84.5368,-0.64,10.14,40.3469,20.79,25.1,43.6,-6.429,416.0064,35.16,0.53,58.19,0.14
216,AER3,R3,Rep6,sand,Kabhutsu,G5,8,73.5,0.14,0.15,77.757,-4.15,1.12,48.414,12.8,17.18,5.47,-1.2229,261.7923,44.42,0.59,63.19,0.04
