Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E2,28,4,Natal_common,G11,27,81.37931034,145,45,1.638888889,118,40.4,,0.246666667,22.17056667,3.636666667,9.466066667,31.5035,45.59,11.45466667,1388.522867
E2,28,4,Tumbe,G12,36,72.51908397,131,31,1.417910448,95,42.33333333,,0.273333333,7.598966667,1.133333333,10.30163333,25.4712,34.60666667,12.463,1513.132567
E2,28,5,Bobwhite,G1,61,24.69135802,81,200,0.076628352,20,47.1,,0.14,1.269833333,11.90333333,13.9734,28.5152,42.53,2.9108,1538.879733
E2,28,5,Chigunwe,G2,24,71.76470588,85,485,0.119842829,61,43.9,,0.2,1.3289,1.223333333,13.64066667,16.22503333,25.63,1.974366667,611.4841
E2,28,5,Chizambia,G3,46,56.60377358,106,106,0.394736842,60,41.07,,0.263333333,26.1867,3.873333333,12.8104,23.16853333,32.55333333,9.3914,1089.896167
E2,28,5,Guineafowl,G4,137,25.94594595,185,185,0.149068323,48,50.08,,0.14,32.19996667,9.866666667,15.90763333,26.09566667,39.35,1.391566667,485.1645333
E2,28,5,Kabhutsu,G5,88,34.81481481,135,135,0.210762332,47,56.58,,0.123333333,9.9745,9.986666667,20.76113333,21.04626667,29.29333333,5.600566667,319.7723333
E2,28,5,Kasawaya,G6,70,65,200,85,0.838709677,130,24.21666667,,0.16,29.5944,10.47,7.260133333,31.49183333,53.94,11.09736667,86.71296667
E2,28,5,Makulu_red,G7,51,57.5,120,60,0.621621622,69,31.28333333,,0.223333333,24.1446,12.06,8.7833,29.94936667,45.95666667,11.5134,80.59396667
E2,28,5,Munzungu_munemari,G8,58,64.84848485,165,105,0.656441718,107,48.77333333,,0.293333333,20.0519,1.193333333,10.9467,32.06606667,39.75666667,13.3259,1385.808167
E2,28,5,Murambatsvina,G9,57,60.68965517,145,41,0.897959184,88,49.21333333,,0.213333333,19.0434,3.75,12.41983333,26.2994,55.75666667,14.84726667,995.0964
E2,28,5,Muromo_wehoto,G10,56,30.86419753,81,81,0.182481752,25,61.86,,0.253333333,22.42613333,0.426666667,15.17953333,26.21163333,28.8,12.6327,1126.967733
E2,28,5,Natal_common,G11,21,84.7826087,138,48,1.695652174,117,41.39333333,,0.216666667,22.71103333,6.346666667,10.2494,31.75286667,48.68,6.860366667,269.6266667
E2,28,5,Tumbe,G12,27,75.45454545,110,45,1.152777778,83,43.57666667,,0.23,9.6617,3.286666667,10.10256667,23.83256667,32.26,13.94036667,272.2392333
E2,28,6,Bobwhite,G1,51,30.1369863,73,273,0.067901235,22,49.1,,0.12,2.739066667,-11.9,13.31893333,30.90956667,47.66666667,1.656766667,1600.662367
E2,28,6,Chigunwe,G2,36,58.13953488,86,486,0.095785441,50,45.31,,0.19,3.068366667,-3.203333333,13.10233333,17.17583333,28.69333333,1.021666667,1527.0173
E2,28,6,Chizambia,G3,32,62.35294118,85,85,0.452991453,53,41.49666667,,0.316666667,23.4419,1.44,11.54303333,19.39406667,18.53333333,11.2631,915.8248
E2,28,6,Guineafowl,G4,105,32.25806452,155,155,0.192307692,50,51.47333333,,0.153333333,33.7502,10.24333333,14.0649,26.01356667,36.36,0.193533333,1218.0219
E2,28,6,Kabhutsu,G5,37,58.42696629,89,89,0.412698413,52,56.26666667,,0.32,1.343966667,-2.363333333,24.77716667,19.55093333,19.54,12.19973333,1480.9852
E2,28,6,Kasawaya,G6,68,63.82978723,188,75,0.839160839,120,25.58,,0.243333333,24.50736667,3.426666667,6.728566667,27.08846667,31.78,12.02153333,1278.966333
E2,28,6,Makulu_red,G7,65,48,125,65,0.461538462,60,32.09,,0.24,25.68666667,11.88,8.864333333,30.47886667,47.83666667,10.77473333,189.5945667
E2,28,6,Munzungu_munemari,G8,80,55.55555556,180,80,0.625,100,48.04,,0.386666667,18.0182,-4.153333333,9.082133333,32.56613333,36.43,12.66353333,541.0539
E2,28,6,Murambatsvina,G9,59,61.93548387,155,43,0.941176471,96,49.54,,0.29,14.1016,1.026666667,10.95893333,23.9913,40.08666667,18.09703333,1846.144333
E2,28,6,Muromo_wehoto,G10,55,26.66666667,75,75,0.153846154,20,62.22,,0.37,18.99353333,-4.71,15.41503333,24.06253333,24.31,16.36973333,1626.9552
E2,28,6,Natal_common,G11,40,74.35897436,156,49,1.303370787,116,41.18,,0.263333333,20.99606667,1.893333333,8.685033333,28.3028,40.14,13.25026667,1268.517933
E2,28,6,Tumbe,G12,30,73.91304348,115,95,0.68,85,41.56333333,,0.26,6.965066667,0.51,10.82926667,26.91643333,34.11666667,12.86596667,1356.982067
E3,10,1,Bobwhite,G1,80,11.11111111,90,136,0.046296296,10,51.43666667,,0.03,90.71666667,-13.62,43.52333333,8.84,39.82,38.14666667,56.27
E3,10,1,Chigunwe,G2,10,66.66666667,30,416.6666667,0.046875,20,51.95666667,,0.06,46.24333333,13.36,37.59333333,8.5,42.62666667,40.65333333,54.74333333
E3,10,1,Chizambia,G3,55,15.38461538,65,125,0.055555556,10,49.47,,0.136666667,78.03666667,6.456666667,23.88666667,8.15,27.32333333,29.39666667,37.78666667
E3,10,1,Guineafowl,G4,28,6.666666667,30,350,0.005291005,2,52.34666667,,0.03,89.62,9.95,31.27,9.143333333,32.18333333,42.76666667,75.24
E3,10,1,Kabhutsu,G5,54,1.818181818,55,283.3333333,0.002964427,1,66.26666667,,0.143333333,79.68333333,4.193333333,19.9,15.75666667,25.54333333,28.45,58.63333333
E3,10,1,Kasawaya,G6,70,41.66666667,120,316.6666667,0.129310345,50,28.81,,0.03,87.88666667,7.32,36.86,1.533333333,30.96333333,38.47666667,64.74
E3,10,1,Makulu_red,G7,81,19.8019802,101,433.3333333,0.038885288,20,35.12666667,,0.033333333,52.33333333,11.88666667,30.99,4.383333333,37.17666667,42.34333333,71.32
E3,10,1,Munzungu_munemari,G8,35,46.15384615,65,350,0.077922078,30,41.67666667,,0.123333333,80.28,6.536666667,25.33333333,7.363333333,30.99666667,32.30666667,44.13666667
E3,10,1,Murambatsvina,G9,25,54.54545455,55,483.3333333,0.059016393,30,37.84,,0.133333333,75.49,6.05,23.38666667,5.336666667,27.37,29.95,39.06333333
E3,10,1,Muromo_wehoto,G10,52,20,65,316.6666667,0.035262206,13,59.97666667,,0.083333333,48.69,5.463333333,22,11.84666667,27.02666667,29.32666667,51.79333333
E3,10,1,Natal_common,G11,25,61.53846154,65,400,0.094117647,40,34.42,,0.063333333,77.57333333,6.84,25.78666667,3.87,31.28333333,32.58333333,67.94333333
E3,10,1,Tumbe,G12,25,61.53846154,65,433.3333333,0.087272727,40,36.65333333,,0.04,85.84333333,10.15333333,34.19,4.726666667,37.94,37.98666667,71.82333333
E3,10,2,Bobwhite,G1,72,13.25301205,83,120,0.057291667,11,52.03333333,,0.033333333,90.29,-13.63333333,42.36666667,8.533333333,36.27333333,41.12666667,55.15666667
E3,10,2,Chigunwe,G2,15,50,30,515,0.028301887,15,52.4,,0.06,46.64333333,12.38333333,39.37666667,7.4,40.81666667,41.44333333,53.82666667
E3,10,2,Chizambia,G3,53,22.05882353,68,200,0.059288538,15,49.86666667,,0.143333333,65.28666667,4.81,20.62,7.28,26.46333333,27.56666667,36.95333333
E3,10,2,Guineafowl,G4,40,20,50,516.6666667,0.017964072,10,52.96666667,,0.03,91.13333333,10.44666667,36.52333333,9.256666667,34.27333333,44.90333333,81.18666667
E3,10,2,Kabhutsu,G5,52,3.703703704,54,233.3333333,0.007009346,2,66.56666667,,0.12,80.54,5.333333333,22.21666667,15.14666667,27.43666667,29.32666667,60.64666667
E3,10,2,Kasawaya,G6,35,61.11111111,90,466.6666667,0.109634551,55,29.32333333,,0.053333333,87.88666667,6.2,35.52666667,1.463333333,32.80333333,37.84333333,67.86666667
E3,10,2,Makulu_red,G7,52,16.12903226,62,400,0.022123894,10,35.54,,0.046666667,53.33333333,10.63666667,29.07666667,4.106666667,35.05666667,42.51666667,68.07666667
E3,10,2,Munzungu_munemari,G8,50,50,100,566.6666667,0.081081081,50,42.26666667,,0.18,70.20333333,2.113333333,17.24333333,5.63,27.62,29.80333333,37.42
E3,10,2,Murambatsvina,G9,22,51.11111111,45,383.3333333,0.056743421,23,38.5,,0.126666667,75.03333333,3.18,19.91666667,4.96,31.14,32.34333333,51.09
E3,10,2,Muromo_wehoto,G10,48,20,60,666.6666667,0.016791045,12,60.6,,0.16,65.29666667,3.14,19.15,12.55333333,29.05333333,30.7,45.64333333
E3,10,2,Natal_common,G11,35,63.15789474,95,583.3333333,0.09703504,60,35.08666667,,0.093333333,71.53,5.13,23.20666667,3.076666667,31.74666667,32.66666667,53.69666667
E3,10,2,Tumbe,G12,32,50.76923077,65,583.3333333,0.053629469,33,37.36333333,,0.11,79.71666667,4.896666667,23.47333333,4.693333333,32.65666667,33.42666667,55.8
E3,10,3,Bobwhite,G1,72.5,14.70588235,85,150,0.056179775,12.5,53.1,,0.023333333,89.54333333,-15.30666667,44.44333333,8.196666667,37.49666667,41.72333333,51.09
E3,10,3,Chigunwe,G2,10,66.66666667,30,543,0.036166365,20,53.33333333,,0.046666667,45.87333333,12.39666667,35.54666667,6.82,41.68,41.61666667,53.34
E3,10,3,Chizambia,G3,60,25,80,750,0.024691358,20,50.63333333,,0.04,84.87333333,-0.21,11.29666667,6.336666667,21.96666667,26.20333333,57.95333333
E3,10,3,Guineafowl,G4,25,10.71428571,28,550,0.005217391,3,53.33333333,,0.053333333,87.01333333,10.26333333,32.08666667,9.306666667,33.52333333,45.21,75.63333333
E3,10,3,Kabhutsu,G5,40,11.11111111,45,266.6666667,0.016304348,5,67.1,,0.156666667,79.72666667,5.87,21.38666667,14.32333333,27.75333333,26.16,63.17
