number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
207,AER4,R3,Rep6,sand,Makulu_red,G7,5,28.9,0.13,32.6812,-9.01,4.82,8.4327,38.78,43.94,69.34,0.41,-0.9245,3943.5281,56.24,0.49,58.85,0.34
208,AER4,R3,Rep6,sand,Tumbe,G12,5,30.1,0.38,34.529,-12.13,-1.66,11.4578,34.06,39.39,39.06,0.62,1.4939,3675.4084,65.93,0.45,54.49,0.3
209,AER4,R3,Rep6,sand,Murambatsvina,G9,6,31.5,0.06,42.6566,-6.08,9.12,12.9022,39.25,42.86,83.65,0.36,-3.5893,3550.7794,51.27,0.46,56.12,0.37
210,AER4,R3,Rep6,sand,Munzungu_munemari,G8,6,32.9,0.55,31.0139,-13.67,-4.99,12.9073,30.95,36.42,20.47,0.69,4.0215,3789.8517,72.67,0.43,52.22,0.27
211,AER4,R3,Rep6,sand,Chizambia,G3,6,38.5,0.59,30.7099,-12.13,-6.53,13.1072,21.02,27.62,11.51,0.66,3.9816,2337.9875,83.98,0.51,58.29,0.12
212,AER4,R3,Rep6,sand,Chigunwe,G2,6,39.5,0.29,18.5331,-14.24,-3.06,13.8376,38.79,44.38,58.86,0.7,2.9114,4436.3938,67.49,0.46,56.71,0.34
213,AER4,R3,Rep6,sand,Bobwhite,G1,7,42,0.24,40.1786,-9.06,1.49,17.3591,29.63,36.13,45.29,0.44,0.5702,2797.5148,59.6,0.52,60.25,0.22
214,AER4,R3,Rep6,sand,Guinea_fowl,G4,7,43,0.19,66.1186,-3.34,8.36,24.2968,27.67,30.54,50,0.38,-5.1784,1740.006,46.5,0.41,48.39,0.27
215,AER4,R3,Rep6,sand,Muromo_wehoto,G10,7,50.5,0.22,35.2656,-9.79,2.57,25.0309,35.94,41.32,58.19,0.53,-0.2706,3487.7776,58.89,0.48,57.39,0.31
216,AER4,R3,Rep6,sand,Kabhutsu,G5,8,63.8,0.12,82.3216,-2.52,11.21,25.4468,29.61,34.45,43.24,0.21,-6.0107,1693.918,43.35,0.52,58.68,0.24
