Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Makulu_red,G7,6,34.12,0.07,0.11,46,9.02,29.52,1.02,32.62,32.86,38.65,-10.21,0,29.16,0.45,51.38,0.33
Tumbe,G12,6,35.1,0.05,0.07,91.08,10.43,33.5,1.22,35.28,35.76,55.3,-15.44,1192.9,28.73,0.48,55.16,0.34
Murambatsvina,G9,7,36.5,0.09,0.14,84.44,6.81,27.07,1.23,34.86,35.5,34.85,-13.29,1797.9,32.74,0.45,52.58,0.35
Munzungu_munemari,G8,7,40,0.08,0.1,83.51,7.44,23.17,1.27,22.75,24.97,17.23,-11.54,243.47,22.44,0.5,54.76,0.19
Chizambia,G3,5,48,0.08,0.09,90.24,11.16,30.3,1.69,26.34,27.03,15.56,-15.67,124.14,21.9,0.47,51.61,0.25
Chigunwe,G2,5,49.2,0.08,0.11,36.24,10.83,29.72,1.7,36.45,37.04,39.28,-15.59,291.19,22.5,0.46,50.83,0.26
Bobwhite,G1,9,50.1,0.06,0.09,89.96,-9.22,31.06,1.73,34.63,34.69,40.69,-15.1,1436.66,29.84,0.46,52.41,0.35
Guinea_fowl,G4,6,51,0.06,0.08,91.62,11.23,34.22,2.9,23.64,34.51,69.78,-16.34,1139.98,27.81,0.47,53.25,0.35
Muromo_wehoto,G10,6,59,0.13,0.17,82.77,8.62,26.71,12,27.46,28.49,23.24,-14.58,596.47,25.99,0.46,51.14,0.27
Kabhutsu,G5,8,65.2,0.23,0.24,60.82,-4.73,2.23,12.45,16.69,21.87,45.2,-0.96,899.99,48.24,0.58,62.94,0.08
Kasawaya,G6,7,28,0.09,0.43,84.7,10.65,37.29,0.59,24.35,38.25,51,-4.23,159.83,24.93,0.59,62.14,0.07
Natal_common,G11,7,34,0.2,0.22,58.55,-3.86,2.6,0.84,14.99,19.42,36.88,-1.15,817.09,43.94,0.55,59.37,0.07
Makulu_red,G7,6,34.8,0.1,0.12,43.21,10.47,38.2,0.98,36.07,39.93,40.12,-8.45,0,29.41,0.55,58.65,0.09
Tumbe,G12,6,35.8,0.13,0.14,72.24,-2.23,4.14,1.01,13.45,17.09,57.2,-1.92,500.12,33.74,0.53,56.65,0.06
Murambatsvina,G9,7,37,0.14,0.15,67.74,-2.46,4.26,1.02,14.24,18.26,5.98,-2,513.07,35.05,0.55,59.18,0.07
Munzungu_munemari,G8,7,41.5,0.19,0.21,70.1,-3.29,4.8,1.02,17.82,22.46,9.76,-2.28,959.75,42.04,0.54,58.73,0.1
Chizambia,G3,5,49,0.09,0.1,77.86,0.59,9.08,1.06,14.79,18.33,10.8,-4.54,169.44,23.19,0.56,59.46,0.08
Chigunwe,G2,5,50,0.07,0.12,36.02,10.1,32.29,1.19,36.66,31.83,36.26,-15,888.66,47.88,0.58,62.99,0.08
Bobwhite,G1,9,50.8,0.04,0.06,88.1,-12.18,34.29,1.89,33.47,37.31,40.7,-14.34,425.19,32.26,0.55,59.16,0.06
Guinea_fowl,G4,7,51,0.08,0.09,80.43,10.33,28.05,2.02,23.83,36.95,67.45,-14.25,231.24,23.53,0.52,55.56,0.08
Muromo_wehoto,G10,5,59.55,0.2,0.22,68.75,-3.41,4.05,10.15,16.49,21.25,8.24,-1.96,709.35,41.15,0.57,61.57,0.08
Kabhutsu,G5,8,65.4,0.23,0.24,60.82,-4.73,2.23,11,16.69,21.87,48.6,-0.96,899.99,48.24,0.58,62.94,0.08
Kasawaya,G6,7,32,0.07,0.1,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
Natal_common,G11,7,37.8,0.09,0.14,81.6835,-1.82,11.64,0.7992,27.52,32.91,36.12,-5.061,1581.6016,40.71,0.56,62.18,0.2
Makulu_red,G7,6,38.4,0.1,0.12,74.4236,-1.12,6.14,0.9314,13.99,17.79,11.1,-3.4428,154.8582,27.43,0.56,60.19,0.07
Tumbe,G12,6,41,0.06,0.07,70.6567,0.12,7.04,1.1329,12.17,15.43,14.24,-4.2096,-180.6518,16.5,0.57,60.58,0.05
Murambatsvina,G9,9,42,0.16,0.18,77.7205,-1.75,7.11,1.3507,17.66,22.27,14.22,-3.7182,471.8234,35,0.57,61.6,0.1
Munzungu_munemari,G8,9,45.6,0.1,0.14,83.7952,-2.46,9.57,1.4391,25.37,30.48,30.09,-4.8327,1310.7994,41.87,0.54,59.77,0.18
Chizambia,G3,6,53,0.07,0.1,85.45,-2.06,9.71,1.6212,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
Chigunwe,G2,5,56.4,0.18,0.2,75.5028,-2.96,4.28,5.3764,15.64,20.09,8.44,-2.9837,332.2797,38.57,0.56,60.57,0.08
Bobwhite,G1,9,56.8,0.04,0.1,87.4043,-0.35,13.28,6.6034,26.84,31.17,55.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
Guinea_fowl,G4,3,57,0.06,0.06,72.2501,0.34,7.35,7.2322,12.14,15.35,9.75,-4.4273,-222.3898,15.37,0.58,60.69,0.05
Muromo_wehoto,G10,6,63.1,0.08,0.09,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
Kabhutsu,G5,8,69,0.15,0.17,83.9222,-1.81,5.9,7.3443,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
Kasawaya,G6,8,32.5,0.16,0.17,73.6871,-2.06,5.14,0.3838,14.72,18.84,6.78,-2.6407,391.5372,33.07,0.56,60.35,0.07
Natal_common,G11,7,38,0.09,0.13,85.5597,4.68,19.87,0.6379,24.82,27.66,31.12,-10.634,567.127,28.54,0.5,55.13,0.21
Makulu_red,G7,6,39,0.24,0.26,65.7403,-2.24,5.52,0.9314,16.2,20.3,5.78,-2.4145,618.3734,36.82,0.53,57.42,0.09
Tumbe,G12,6,41.8,0.12,0.15,83.5613,2.89,16,1.0313,22.59,25.6,23.49,-8.8857,640.2092,29.9,0.49,53.79,0.19
Murambatsvina,G9,7,43,0.11,0.14,79.9416,1.14,12.22,1.1232,19.73,23.4,18.38,-6.4845,564.0577,30.12,0.52,56.53,0.14
Munzungu_munemari,G8,9,46,0.13,0.16,78.2455,0.53,11.71,1.28,20.5,24.44,20.63,-6.4837,619.9692,32.16,0.52,57.28,0.14
Chizambia,G3,6,53.5,0.12,0.14,84.0032,1.93,13.67,1.3507,20.28,23.81,17.59,-7.8359,384.3908,28.96,0.52,56.42,0.15
Chigunwe,G2,5,57,0.14,0.15,71.0376,0.61,8.99,1.4761,14.67,18.08,4.63,-4.6663,69.2113,23.38,0.54,58.16,0.08
Bobwhite,G1,9,57.9,0.09,0.1,93.7948,2.56,14.54,1.7473,19.57,23.43,7.85,-7.8807,67.0221,25.71,0.56,60.62,0.13
Guinea_fowl,G4,9,58,0.04,0.09,91.4131,5.74,25.29,1.9472,33.38,35.42,49.31,-12.2244,1392.8857,32.73,0.49,55.88,0.31
Muromo_wehoto,G10,6,63.8,0.08,0.09,72.3583,-0.68,6.1,2.0572,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
Kabhutsu,G5,8,69.75,0.15,0.17,83.9222,-1.81,5.9,2.2738,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
Kasawaya,G6,7,33,0.07,0.1,85.45,-2.06,9.71,0.587,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
Natal_common,G11,7,38.7,0.09,0.13,85.5597,4.68,19.87,0.9314,24.82,27.66,31.12,-10.634,567.127,28.54,0.5,55.13,0.21
Makulu_red,G7,6,39.4,0.24,0.26,65.7403,-2.24,5.52,1.0313,16.2,20.3,5.78,-2.4145,618.3734,36.82,0.53,57.42,0.09
Tumbe,G12,6,42.1,0.12,0.15,83.5613,2.89,16,1.3507,22.59,25.6,23.49,-8.8857,640.2092,29.9,0.49,53.79,0.19
Murambatsvina,G9,7,43.5,0.11,0.14,79.9416,1.14,12.22,1.4391,19.73,23.4,18.38,-6.4845,564.0577,30.12,0.52,56.53,0.14
Munzungu_munemari,G8,7,46.9,0.13,0.16,78.2455,0.53,11.71,1.4761,20.5,24.44,20.63,-6.4837,619.9692,32.16,0.52,57.28,0.14
Chizambia,G3,6,53.5,0.07,0.1,85.45,-2.06,9.71,1.7473,24.13,29.33,26.44,-4.6763,1139.7491,40.11,0.55,61.2,0.17
Chigunwe,G2,5,58,0.18,0.2,75.5028,-2.96,4.28,1.9472,15.64,20.09,8.44,-2.9837,332.2797,38.57,0.56,60.57,0.08
Bobwhite,G1,8,59,0.04,0.1,87.4043,-0.35,13.28,2.2738,26.84,31.17,55.1,-6.3394,1392.2564,38.2,0.52,57.89,0.21
Guinea_fowl,G4,3,59.1,0.06,0.06,72.2501,0.34,7.35,5.3764,12.14,15.35,9.75,-4.4273,-222.3898,15.37,0.58,60.69,0.05
Muromo_wehoto,G10,6,64,0.08,0.09,72.3583,-0.68,6.1,7.2322,12.67,16.13,11.49,-3.5885,-0.7965,22.15,0.56,59.83,0.05
Kabhutsu,G5,8,70,0.15,0.17,83.9222,-1.81,5.9,7.2322,15.6,19.67,10.04,-4.2553,166.9578,33.81,0.55,58.83,0.08
Kasawaya,G6,5,14.88,0.6,0.26,40,-4.84,2.46,1.09,27.6,22.65,33.26,-3.45,0,49.34,0.55,60.06,0.09
Natal_common,G11,6,18.14,0.2,0.28,61.88,-2.93,8.41,2.76,24.55,29.49,29.56,-3.85,1628.36,43.06,0.52,58.28,0.18
Makulu_red,G7,6,19.06,0.68,0.49,40,-9.85,2.23,2.87,27.3,36.3,24.5,2.25,0,50.21,0.52,57.48,0.1
Tumbe,G12,4,19.94,0.11,0.21,68.81,-2.67,12.69,5.09,34.44,38.36,48.15,-5.35,2814.95,44.97,0.49,56.69,0.31
Murambatsvina,G9,4,21.63,0.33,0.39,36.39,-8.46,-1.69,6.36,20.05,25.97,16.35,2.8,2308.69,68.05,0.53,59.16,0.11
